Source,Target,Type,Id,year
209,285,Undirected,659,1987
210,219,Undirected,660,2008
210,227,Undirected,661,2008
210,246,Undirected,662,2008
210,264,Undirected,663,2008
210,282,Undirected,664,2008
212,254,Undirected,665,2014
212,270,Undirected,666,2014
212,274,Undirected,667,2014
213,267,Undirected,668,1992
213,286,Undirected,669,1992
214,267,Undirected,670,1992
216,267,Undirected,671,1992
216,286,Undirected,672,1992
219,264,Undirected,673,2008
220,236,Undirected,674,2007
221,225,Undirected,675,2002
222,224,Undirected,676,1988
223,265,Undirected,677,2010
224,235,Undirected,678,1987
224,251,Undirected,679,1987
224,269,Undirected,680,1987
224,275,Undirected,681,1987
224,278,Undirected,682,1987
224,280,Undirected,683,1987
224,284,Undirected,684,1988
224,285,Undirected,685,1987
225,245,Undirected,686,2002
225,256,Undirected,687,2002
227,264,Undirected,688,2008
227,282,Undirected,689,2008
228,267,Undirected,690,1992
228,286,Undirected,691,1992
229,267,Undirected,692,1992
229,286,Undirected,693,1992
232,267,Undirected,694,1992
232,286,Undirected,695,1992
233,267,Undirected,696,1992
235,285,Undirected,697,1987
237,242,Undirected,698,2012
237,250,Undirected,699,2012
237,262,Undirected,700,2012
238,267,Undirected,701,1992
238,286,Undirected,702,1992
240,267,Undirected,703,1992
240,286,Undirected,704,1992
244,267,Undirected,705,1992
246,264,Undirected,706,2008
248,272,Undirected,707,2007
249,267,Undirected,708,1992
249,286,Undirected,709,1992
251,285,Undirected,710,1987
253,265,Undirected,711,2010
254,270,Undirected,712,2014
254,274,Undirected,713,2014
257,267,Undirected,714,1992
257,286,Undirected,715,1992
258,265,Undirected,716,2010
259,265,Undirected,717,2010
259,266,Undirected,718,2008
259,273,Undirected,719,2008
264,282,Undirected,720,2008
267,268,Undirected,721,1992
267,279,Undirected,722,1992
267,281,Undirected,723,1992
267,286,Undirected,724,1992
269,285,Undirected,725,1987
270,274,Undirected,726,2014
275,285,Undirected,727,1987
278,285,Undirected,728,1987
280,285,Undirected,729,1987
281,286,Undirected,730,1992
